,ds,country,polygon_source,polygon_id,polygon_name,all_day_bing_tiles_visited_relative_change,all_day_ratio_single_tile_users,baseline_name,baseline_type
1216539,2020-03-01,CZE,GADM,CZE.10_1,,0.039689999999999996,0.27699999999999997,full_february,DAY_OF_WEEK
1216540,2020-03-02,CZE,GADM,CZE.10_1,,0.04003,0.14215999999999998,full_february,DAY_OF_WEEK
1216541,2020-03-03,CZE,GADM,CZE.10_1,,-0.03595,0.17218,full_february,DAY_OF_WEEK
1216542,2020-03-04,CZE,GADM,CZE.10_1,,-0.012819999999999998,0.15398,full_february,DAY_OF_WEEK
1216543,2020-03-05,CZE,GADM,CZE.10_1,,-0.00481,0.15200999999999998,full_february,DAY_OF_WEEK
1216544,2020-03-06,CZE,GADM,CZE.10_1,,-0.03845,0.15458,full_february,DAY_OF_WEEK
1216545,2020-03-07,CZE,GADM,CZE.10_1,,-0.05259,0.24254,full_february,DAY_OF_WEEK
1216546,2020-03-08,CZE,GADM,CZE.10_1,,0.04975,0.2733,full_february,DAY_OF_WEEK
1216547,2020-03-09,CZE,GADM,CZE.10_1,,0.03147,0.14779,full_february,DAY_OF_WEEK
1216548,2020-03-10,CZE,GADM,CZE.10_1,,0.01799,0.15328,full_february,DAY_OF_WEEK
1216549,2020-03-11,CZE,GADM,CZE.10_1,,-0.04033,0.16845,full_february,DAY_OF_WEEK
1216550,2020-03-12,CZE,GADM,CZE.10_1,,-0.0406,0.16526,full_february,DAY_OF_WEEK
1216551,2020-03-13,CZE,GADM,CZE.10_1,,-0.07166,0.16549,full_february,DAY_OF_WEEK
1216552,2020-03-14,CZE,GADM,CZE.10_1,,-0.12878,0.26827,full_february,DAY_OF_WEEK
1216553,2020-03-15,CZE,GADM,CZE.10_1,,-0.08992,0.32095,full_february,DAY_OF_WEEK
1216554,2020-03-16,CZE,GADM,CZE.10_1,,-0.18683,0.23240999999999998,full_february,DAY_OF_WEEK
1216555,2020-03-17,CZE,GADM,CZE.10_1,,-0.2415,0.27523000000000003,full_february,DAY_OF_WEEK
1216556,2020-03-18,CZE,GADM,CZE.10_1,,-0.22451999999999997,0.26021,full_february,DAY_OF_WEEK
1216557,2020-03-19,CZE,GADM,CZE.10_1,,-0.25174,0.26997,full_february,DAY_OF_WEEK
1216558,2020-03-20,CZE,GADM,CZE.10_1,,-0.26250999999999997,0.26263000000000003,full_february,DAY_OF_WEEK
1216559,2020-03-21,CZE,GADM,CZE.10_1,,-0.44573,0.44315,full_february,DAY_OF_WEEK
1216560,2020-03-22,CZE,GADM,CZE.10_1,,-0.37354,0.46113000000000004,full_february,DAY_OF_WEEK
1216561,2020-03-23,CZE,GADM,CZE.10_1,,-0.25467,0.2892,full_february,DAY_OF_WEEK
1216562,2020-03-24,CZE,GADM,CZE.10_1,,-0.25545,0.29085,full_february,DAY_OF_WEEK
1216563,2020-03-25,CZE,GADM,CZE.10_1,,-0.25979,0.28351,full_february,DAY_OF_WEEK
1216564,2020-03-26,CZE,GADM,CZE.10_1,,-0.31198000000000004,0.31117,full_february,DAY_OF_WEEK
1216565,2020-03-27,CZE,GADM,CZE.10_1,,-0.28125,0.26942,full_february,DAY_OF_WEEK
1216566,2020-03-28,CZE,GADM,CZE.10_1,,-0.27454,0.34404,full_february,DAY_OF_WEEK
1216567,2020-03-29,CZE,GADM,CZE.10_1,,-0.33191,0.43843000000000004,full_february,DAY_OF_WEEK
1216568,2020-03-30,CZE,GADM,CZE.10_1,,-0.25933,0.28281999999999996,full_february,DAY_OF_WEEK
