date;face_masks_level;face_masks;desc
2020-01-01;0;nothing;
2020-03-17;3;traffic_somewhere;roušky v MHD v Praze
2020-03-18;10;everywhere;pobyt na všech místech mimo bydliště pouze s rouškou
2020-05-05;9;almost_everywhere;přidané výjimky, nové opatření
2020-05-26;8;inside_traffic_outside_somewhere;roušky ve vnitřních prostorách, v MHD, venku tam, kde není možné dodržovat rozestupy
2020-06-15;7;inside_traffic_mass;roušky ve vnitřních prostorách, v MHD, na venkovních hromadných akcích bez rozestupů
2020-07-01;2;traffic_somewhere;zrušení celoplošných opatření, zůstávají v Praze a MS kraji
2020-09-10;5;inside_traffic;roušky ve všech vnitřních prostorech, v MHD
2020-09-24;6;inside_traffic_schools;roušky ve školách Praha, roušky na hromadných akcích Pardubický kraj
2020-10-13;6;inside_traffic_schools;roušky ve vnitřních prostorách, v MHD včetně nástupišť
2020-10-21;8;inside_traffic_outside_somewhere;roušky taky venku, pokud nelze dodržovat rozestupy
