week,pneumonia_raw60plus,pneumonia_all
30,1020,340
31,990,329.4770206
32,1000,332.278481
33,1050,348.3412322
34,1100,364.3533123
35,1215,401.8110236
36,1330,439.1509434
37,1540,507.6923077
38,1750,576.0188088
39,1975,649.0610329
40,2200,721.875
41,2320,760.0624025
42,2440,798.1308411
43,2630,858.9424572
44,2820,919.5652174
45,2985,971.8604651
46,3150,1023.993808
47,3325,1079.211747
48,3500,1134.259259
49,3610,1168.104777
50,3720,1201.846154
51,3870,1248.387097
52,4020,1326.732673
1,4230,1429.054054
2,4440,1536.33218
3,4555,1615.248227
4,4670,1698.181818
5,4690,1750
6,4580,1665.454545
7,4415,1565.602837
8,4250,1470.588235
9,4015,1356.418919
10,3780,1247.524752
11,3580,1154.83871
12,3380,1092.176871
13,3190,1032.53833
14,3000,972.6962457
15,2845,924.017094
16,2690,875.1712329
17,2525,822.8987993
18,2360,770.4467354
19,2265,740.7056799
20,2170,710.862069
21,2035,667.7892919
22,1900,624.567474
23,1750,576.2564991
24,1600,527.7777778
25,1480,489.0434783
26,1360,450.174216
27,1255,416.1431065
28,1150,381.993007
29,1075,357.7057793
