Datum,Změna nevyjíždějících klouzavý průměr 30,Změna Google obytné budovy klouzavý průměr 30
1. 1. 2020,0.18,null
2. 1. 2020,0.18,null
3. 1. 2020,0.18,null
4. 1. 2020,0.19,null
5. 1. 2020,0.19,null
6. 1. 2020,0.2,null
7. 1. 2020,0.19,null
8. 1. 2020,0.17,null
9. 1. 2020,0.14,null
10. 1. 2020,0.11,null
11. 1. 2020,0.1,null
12. 1. 2020,0.1,null
13. 1. 2020,0.1,null
14. 1. 2020,0.08,null
15. 1. 2020,0.06,null
16. 1. 2020,0.02,null
17. 1. 2020,0,null
18. 1. 2020,-0.01,null
19. 1. 2020,-0.02,null
20. 1. 2020,-0.02,null
21. 1. 2020,-0.02,null
22. 1. 2020,-0.01,null
23. 1. 2020,-0.01,null
24. 1. 2020,-0.02,null
25. 1. 2020,-0.02,null
26. 1. 2020,-0.02,null
27. 1. 2020,-0.02,null
28. 1. 2020,-0.02,null
29. 1. 2020,-0.01,null
30. 1. 2020,-0.01,null
31. 1. 2020,-0.02,-0.02
1. 2. 2020,-0.02,-0.02
2. 2. 2020,-0.02,-0.01
3. 2. 2020,-0.02,-0.01
4. 2. 2020,-0.02,-0.01
5. 2. 2020,-0.01,0
6. 2. 2020,-0.02,0
7. 2. 2020,-0.02,-0.01
8. 2. 2020,-0.01,-0.01
9. 2. 2020,-0.01,-0.01
10. 2. 2020,-0.01,-0.01
11. 2. 2020,-0.01,0
12. 2. 2020,0,0
13. 2. 2020,0.01,0
14. 2. 2020,0.02,0
15. 2. 2020,0.02,0
16. 2. 2020,0.03,0
17. 2. 2020,0.03,0
18. 2. 2020,0.04,0
19. 2. 2020,0.04,0
20. 2. 2020,0.05,0
21. 2. 2020,0.04,0
22. 2. 2020,0.04,0
23. 2. 2020,0.05,0
24. 2. 2020,0.05,0
25. 2. 2020,0.06,0
26. 2. 2020,0.07,0
27. 2. 2020,0.07,0
28. 2. 2020,0.07,0.01
29. 2. 2020,0.07,0.01
1. 3. 2020,0.09,0.01
2. 3. 2020,0.11,0.02
3. 3. 2020,0.13,0.03
4. 3. 2020,0.16,0.03
5. 3. 2020,0.18,0.04
6. 3. 2020,0.18,0.04
